[2025-10-10 22:21:52.792] [info]  DiscordSplash.signalReady
[2025-10-10 22:21:53.330] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-10-10 22:21:53.332] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-10-10 22:21:53.340] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-10-10 22:21:53.343] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-10-10 22:21:53.345] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-10-10 22:21:53.346] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-10-10 22:21:53.348] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-10-10 22:21:53.349] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-10-10 22:21:53.351] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-10-10 22:21:53.352] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-10-10 22:21:53.354] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-10-10 22:21:53.355] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-10-10 22:21:53.356] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-10-10 22:21:53.357] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-10-10 22:21:53.358] [info]  DiscordSplash.onStateUpdate: {"status":"update-manually","current":6,"total":6,"newVersion":"0.0.111"}
[2025-10-10 22:21:53.358] [info]  Splash.onStateUpdate: {"status":"update-manually","current":6,"total":6,"newVersion":"0.0.111"}
[2025-10-10 22:21:53.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:21:54.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:21:55.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:21:56.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:21:57.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:21:58.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:21:59.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:00.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:01.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:02.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:03.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:04.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:05.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:06.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:07.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:08.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:09.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:10.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:11.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:12.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:13.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:14.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:15.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:16.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:17.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:18.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:19.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:20.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:21.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:22.793] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:23.791] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:24.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:25.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:26.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:27.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:28.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:29.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:30.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:31.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:32.792] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-10 22:22:33.791] [info]  Splash.updateCountdownSeconds: undefined
